intent,jawaban
halaman_website_tersedia,"Website kami terdiri dari halaman Beranda (landing page), Profil Instansi (penjelasan instansi, struktur organisasi/bagan, dan sejarah instansi), Layanan (daftar layanan beserta harga per jenis alat kesehatan), Proses Kalibrasi (fitur pemantauan status pengajuan kalibrasi), Artikel (berita dan pengumuman terkait instansi), serta Kontak (Google Maps, dan akun media sosial resmi seperti Instagram, TikTok, X/Twitter, dan WhatsApp)."
harga_kalibrasi_alat,"Tarif kalibrasi bervariasi sesuai jenis alat kesehatan, berdasarkan Peraturan Daerah Provinsi Lampung Nomor 4 Tahun 2024. Beberapa contoh: Sphygmomanometer/Tensimeter Rp84.000, Nebulizer Rp228.000, USG Rp300.000, Autoclave Rp312.000, Monitor Pasien Rp588.000. Tarif yang tertera belum termasuk biaya akomodasi tenaga teknis. Untuk tarif alat lain, silakan sebutkan nama alat kesehatan yang Anda maksud."
info_lokasi_kalibrasi_lab_atau_onsite,"Informasi mengenai lokasi pelaksanaan kalibrasi (di laboratorium atau on-site di lokasi Anda) akan diinformasikan oleh admin pada tahap status 'Penjadwalan'. Perlu diketahui, penentuan ini merupakan wewenang pihak instansi berdasarkan persetujuan bersama, bukan pilihan yang dapat diajukan sendiri oleh klien."
informasi_label_kalibrasi,"Label kalibrasi umumnya mencantumkan informasi Nomor Sertifikat, Nama Alat, Nomor Seri Alat, Tanggal Kalibrasi, dan Tanggal Jatuh Tempo (batas waktu alat harus dikalibrasi ulang)."
izin_resmi_pemerintah,"Sudah. Instansi kami, UPTD Balai Pengujian dan Kalibrasi Alat Kesehatan Dinas Kesehatan Provinsi Lampung, telah memiliki Sertifikat Standar Perizinan Berusaha Berbasis Risiko dengan nomor 06052500138750001, diterbitkan oleh Pemerintah Republik Indonesia (Kementerian Kesehatan c.q. Kementerian Investasi dan Hilirisasi/BKPM) pada 29 Desember 2025, dengan Kode KBLI 71208 (Aktivitas Pengujian dan/atau Kalibrasi Alat Kesehatan dan Inspeksi Sarana Prasarana Kesehatan)."
jam_operasional_instansi,"Jam operasional kami adalah Senin-Kamis pukul 08.00-16.00 WIB, dan Jumat pukul 08.00-16.30 WIB. Kami tutup pada hari Sabtu, Minggu, dan hari libur nasional."
jumlah_klinik_klien,"Sampai saat ini, tercatat 61 klinik (termasuk klinik pratama, klinik utama, dan klinik rawat inap) di Provinsi Lampung yang sudah menjadi klien kalibrasi di instansi kami."
jumlah_puskesmas_klien,"Sampai saat ini, tercatat 30 Puskesmas (UPT/UPTD) di Provinsi Lampung yang sudah menjadi klien kalibrasi di instansi kami."
jumlah_rs_klien,"Sampai saat ini, tercatat 6 rumah sakit di Provinsi Lampung yang sudah menjadi klien kalibrasi di instansi kami."
jumlah_total_fasyankes_klien,"Sampai saat ini, instansi kami telah melayani kalibrasi untuk total 100 fasilitas pelayanan kesehatan (fasyankes) di Provinsi Lampung, terdiri dari 61 klinik, 30 Puskesmas, 6 rumah sakit, 1 balai pengobatan (BP), dan 2 fasilitas kesehatan lainnya (seperti Biddokkes Polda dan rumah sunat)."
kekeliruan_data_sertifikat,"Jika ditemukan kekeliruan pada dokumen, silakan segera laporkan kepada admin kami agar dapat dilakukan perbaikan sebagaimana mestinya."
klaim_hasil_kalibrasi,"Untuk prosedur pengajuan klaim atau keberatan atas hasil kalibrasi, silakan sampaikan langsung kepada admin kami melalui kontak resmi yang tersedia agar dapat ditindaklanjuti sesuai prosedur."
komplain_umum,"Kami siap menerima masukan atau keluhan Anda. Agar dapat segera kami tindaklanjuti dengan tepat, mohon sampaikan detail keluhan Anda (misalnya terkait hasil kalibrasi, pelayanan, jadwal, atau pembayaran) langsung kepada admin kami melalui kontak resmi yang tersedia."
label_kalibrasi_alat,"Ya, alat kesehatan yang telah selesai dikalibrasi akan ditempeli label kalibrasi berupa stiker khusus."
lama_penerbitan_sertifikat,"Estimasi waktu penerbitan sertifikat kurang lebih 10 hari pada hari kerja bergantung pada antrean dan jenis alat. Untuk perkiraan waktu yang lebih pasti, silakan tanyakan kepada admin, atau pantau status pengajuan Anda melalui fitur pemantauan pada website kami."
layanan_kalibrasi_darurat,"Untuk ketersediaan layanan darurat/percepatan proses kalibrasi, silakan hubungi admin kami langsung untuk membicarakan kebutuhan mendesak Anda."
lokasi_kalibrasi_onsite_offsite,"Kami menyediakan dua pilihan, yaitu kalibrasi di laboratorium kami maupun kalibrasi langsung di lokasi klien (on-site). Namun, untuk pilihan tersebut harus di bicarakan  terlebih dahulu dengan teknisi bersangkutan berdasarkan pertimbangan teknis dan disepakati bersama dengan klien. Setelah disepakati, klien dapat melihat jadwal yang  telah ditentukan melalui website."
masa_berlaku_akreditasi,"Sertifikat akreditasi LK-494-IDN kami berlaku sejak 31 Juli 2025 hingga 30 Juli 2030. Salinan sertifikat dapat kami tunjukkan atau lampirkan sesuai permintaan, dan keasliannya juga dapat diverifikasi melalui QR code yang tercantum pada sertifikat."
metode_bayar_cash,"Pembayaran tunai (cash) tetap tersedia sebagai salah satu opsi, tapi baik cash maupun transfer bank, keduanya tetap wajib diproses melalui aplikasi Saibara — tidak ada pembayaran yang diterima di luar aplikasi tersebut. Jadi Anda tetap perlu mengunduh dan menggunakan Saibara meskipun ingin bayar tunai."
metode_kalibrasi_standar,"Ya, metode kalibrasi yang kami gunakan mengacu pada standar yang berlaku, sejalan dengan penerapan ISO/IEC 17025:2017 sebagai dasar sistem manajemen mutu laboratorium kami, serta telah diselaraskan dengan Metode Kalibrasi tahun 2024 dari KEMENKES"
monitoring_transaksi_saibara,"Bisa. Melalui aplikasi Saibara, Anda dapat memantau status pembayaran, melihat riwayat/histori transaksi, serta mencetak bukti pembayaran secara digital."
nama_alamat_instansi,"Nama resmi kami adalah UPTD Balai Pengujian dan Kalibrasi Alat Kesehatan Dinas Kesehatan Provinsi Lampung, beralamat di Jalan DR Susilo No. 44-46, Desa/Kelurahan Pahoman, Kecamatan Enggal, Kota Bandar Lampung, Provinsi Lampung, Kode Pos 35213."
nilai_uncertainty_sertifikat,"Ya, sebagai laboratorium terakreditasi ISO/IEC 17025:2017, sertifikat hasil kalibrasi kami mencantumkan nilai ketidakpastian pengukuran (uncertainty) sesuai kaidah metrologi yang berlaku."
penandatangan_sertifikat,"Sertifikat kami ditandatangani oleh personil yang berwenang, yaitu teknisi kalibrasi atau kepala laboratorium yang memiliki kompetensi dan mandat resmi dari instansi untuk mengesahkan dokumen, sehingga sertifikat memiliki kekuatan hukum yang sah."
pengajuan_ditolak_admin,"Admin berwenang menolak suatu pengajuan pada tahap awal, misalnya karena data atau kelengkapan pengajuan belum sesuai. Untuk mengetahui alasan spesifik penolakan pengajuan Anda dan cara memperbaikinya, silakan hubungi admin melalui kontak resmi kami."
pengakuan_audit_fasyankes,"Untuk parameter alat yang berada dalam ruang lingkup akreditasi KAN kami (LK-494-IDN), sertifikat hasil kalibrasi kami dapat digunakan sebagai bukti dukung yang sah dalam proses audit akreditasi fasilitas pelayanan kesehatan. Untuk alat di luar ruang lingkup tersebut, kami sarankan Anda mengonfirmasikan kebutuhan spesifik dengan admin atau lembaga akreditasi fasyankes terkait."
pengambilan_hardcopy_sertifikat,Anda dapat mengambil hardcopy sertifikat beserta alat kesehatan Anda di kantor setelah status pengajuan pada website menunjukkan 'Sertifikat' (sertifikat sudah dapat diunduh). Pengambilan fisik di kantor inilah yang kemudian akan mengubah status pengajuan Anda menjadi 'Selesai'.
penyimpanan_data_kalibrasi,"Data pengajuan dan hasil kalibrasi Anda tersimpan pada sistem website kami, sehingga riwayat pengajuan dapat dilihat kembali melalui akun Anda. Untuk permintaan salinan sertifikat karena sertifikat asli hilang, silakan hubungi admin kami."
pilih_lokasi_kalibrasi_klien,"Tidak. Kalibrasi memang tersedia dalam dua pilihan lokasi, yaitu di laboratorium kami atau di lokasi klinik/lokasi klien (on-site), namun penentuan lokasi tersebut harus melalui persetujuan kedua belah pihak dan hanya dapat diajukan/ditentukan oleh pihak instansi kami, bukan oleh klien."
profil_sejarah_struktur_organisasi,"Informasi mengenai profil instansi, sejarah berdirinya, dan struktur organisasi (bagan instansi) dapat Anda lihat pada halaman Profil Instansi di website kami."
rebranding_pemisahan_ifka,"Tidak lagi. Sebelumnya, layanan kalibrasi alat kesehatan tergabung dalam UPTD Instalasi Farmasi dan Kalibrasi Alat Kesehatan (IFKA) Dinas Kesehatan Provinsi Lampung bersama dengan pelayanan farmasi. Namun sejak akhir tahun 2026, unit kalibrasi resmi dipisahkan menjadi UPTD Balai Pengujian dan Kalibrasi Alat Kesehatan Dinas Kesehatan Provinsi Lampung, yang kini berdiri sendiri dan fokus khusus menangani pengujian serta kalibrasi alat kesehatan, terpisah dari fungsi pelayanan farmasi."
rekomendasi_interval_kalibrasi,"Untuk rekomendasi interval kalibrasi yang sesuai kondisi dan jenis alat Anda, silakan tanyakan langsung kepada teknisi atau admin kami saat proses kalibrasi berlangsung."
reminder_jatuh_tempo_kalibrasi,"Untuk fitur reminder/pengingat otomatis jatuh tempo kalibrasi, dalam website kami  belum ada."
reschedule_jadwal_kalibrasi,"Bisa. Untuk pengajuan perubahan (reschedule) jadwal kalibrasi yang sudah disetujui sebelumnya, silakan hubungi admin kami langsung melalui kontak resmi agar dapat diatur ulang sesuai ketersediaan jadwal teknisi."
ruang_lingkup_akreditasi,"Tidak semua. Berdasarkan lampiran ruang lingkup akreditasi kami saat ini, alat yang berstatus 'terakreditasi KAN' meliputi Sphygmomanometer/Tensimeter, Timbangan Bayi (Mekanik), dan Suction Pump. Untuk alat kesehatan lain di luar tiga jenis tersebut, layanan kalibrasi tetap kami berikan namun berada di luar ruang lingkup akreditasi KAN. Silakan konfirmasikan ke admin bila Anda memerlukan kepastian status akreditasi untuk alat tertentu, terutama untuk keperluan audit akreditasi fasilitas pelayanan kesehatan (fasyankes) seperti rumah sakit, puskesmas, atau klinik."
salinan_sertifikat_legalisir,"Untuk kebutuhan salinan sertifikat legalisir (fotokopi sertifikat yang distempel basah resmi sebagai tanda sah), silakan sampaikan permintaan tersebut kepada admin kami beserta informasi biayanya."
sejarah_berdirinya_instansi,"Cikal bakal instansi kami berdiri pada tahun 2017 berdasarkan Peraturan Gubernur Lampung Nomor 3 Tahun 2017 tanggal 1 Februari 2017 tentang Pembentukan, Organisasi, dan Tata Kerja Unit Pelaksana Teknis Dinas pada Dinas Daerah Provinsi Lampung. Saat itu, layanan kalibrasi masih tergabung dengan pelayanan farmasi di bawah nama UPTD Instalasi Farmasi dan Kalibrasi Alat Kesehatan (IFKA). Sejak akhir tahun 2026, unit kalibrasi resmi dipisahkan menjadi UPTD Balai Pengujian dan Kalibrasi Alat Kesehatan Dinas Kesehatan Provinsi Lampung yang berdiri sendiri, terpisah dari fungsi pelayanan farmasi."
sertifikat_digital_softfile,"Ya. Setelah proses kalibrasi selesai, admin akan mengunggah sertifikat secara online ke website, dan Anda dapat mengunduhnya sendiri melalui akun Anda pada tahap status 'Sertifikat'."
sertifikat_kompetensi_teknisi,"Ya, teknisi kami memiliki kompetensi dan kualifikasi yang sesuai untuk melaksanakan kalibrasi, sejalan dengan status kami sebagai laboratorium terakreditasi KAN ISO/IEC 17025:2017."
sistem_pembayaran,Pembayaran dilakukan melalui sistem Aplikasi Saibara.
skema_cicilan_termin,"Skema pembayaran mengikuti sistem Saibara dan dilakukan setelah kalibrasi selesai. Untuk kemungkinan skema termin/cicilan, silakan konfirmasikan kepada admin kami."
standar_alat_kalibrasi_traceable,"Alat standar yang kami gunakan untuk mengalibrasi alat Anda sudah diuji ketertelusurannya (traceability) hingga ke standar nasional/KAN, sehingga akurasi hasil kalibrasi dapat dijamin. Detail alat standar yang digunakan dapat ditanyakan sesuai jenis alat kesehatan yang diajukan."
status_otomatis_setelah_bayar,"Untuk mekanisme apakah status pengajuan Anda diperbarui secara otomatis setelah pembayaran di Saybara atau memerlukan konfirmasi manual, mohon konfirmasikan langsung kepada admin agar informasi yang Anda terima akurat dan sesuai kondisi sistem terkini."
tanggung_jawab_pemilik_alat,"Sebagai pemilik alat, Anda bertanggung jawab memastikan data pengajuan alat sudah lengkap dan benar, alat dalam kondisi siap diuji, serta hadir/menyediakan akses jika kalibrasi dilakukan di lokasi Anda (on-site). Detail lebih lanjut dapat dikonfirmasikan kepada admin sesuai kesepakatan."
tarif_termasuk_pajak,"Tarif kalibrasi yang kami tetapkan merupakan tarif resmi sesuai dengan peraturan daerah yang berlaku, sehingga nominal tersebut sudah bersifat final dan tidak dikenakan komponen pajak tambahan lainnya."
tugas_pokok_instansi,"Sebagai UPTD Balai Pengujian dan Kalibrasi Alat Kesehatan Dinas Kesehatan Provinsi Lampung, tugas pokok kami adalah menyelenggarakan pelayanan pengujian dan kalibrasi alat kesehatan untuk membantu Kepala Dinas Kesehatan dalam menyelenggarakan urusan pemerintahan di bidang kesehatan. (Sebelum pemisahan di akhir tahun 2026, tugas ini masih tergabung dengan pelayanan obat, perbekalan kesehatan, serta penyediaan makan dan minum di bawah UPTD Instalasi Farmasi dan Kalibrasi Alat Kesehatan/IFKA.)"
tugas_seksi_kalibrasi,"Seksi Kalibrasi Alat Kesehatan bertugas melaksanakan pengujian dan kalibrasi alat kesehatan, dengan rincian tugas antara lain: melaksanakan pengujian dan kalibrasi alat kesehatan serta sarana dan prasarana kesehatan; melaksanakan pengamanan dan pengukuran paparan radiasi; melaksanakan pelayanan monitoring dosis radiasi personal; melaksanakan pengukuran luaran radiasi terapi; melaksanakan pengendalian mutu dan pengembangan teknologi pengamanan fasilitas kesehatan; melaksanakan monitoring dan evaluasi kegiatan pengujian, kalibrasi, dan proteksi radiasi; melaksanakan jejaring kerja dan kemitraan; melaksanakan bimbingan teknis di bidang pengamanan fasilitas kesehatan; serta menyusun laporan pelaksanaan kegiatan Seksi Kalibrasi Alat Kesehatan."
uji_fungsi_sebelum_kalibrasi,Pemeriksaan kondisi awal alat umumnya dilakukan sebelum proses kalibrasi untuk memastikan alat layak diuji. Detail prosedur dapat dikonfirmasikan kepada teknisi pada saat pelaksanaan.
unduh_sertifikat_elektronik,"Anda dapat mengunduh file sertifikat elektronik langsung melalui akun Anda pada website kami, pada halaman detail pengajuan yang berstatus 'Sertifikat'."
upload_bukti_pembayaran,"Untuk memastikan apakah unggah bukti pembayaran di website diperlukan setelah pembayaran melalui Saybara, silakan konfirmasikan langsung kepada admin kami."
wajib_pakai_saibara,"Ya, wajib. Seluruh pembayaran biaya kalibrasi di instansi kami HARUS dilakukan melalui aplikasi Saibara, baik Anda membayar secara tunai (cash) maupun transfer bank — keduanya tetap diproses lewat Saibara. Tidak ada metode pembayaran lain di luar aplikasi ini, karena Saibara merupakan platform resmi Pemerintah Provinsi Lampung untuk pengelolaan retribusi daerah."
waktu_pembayaran,"Pembayaran dilakukan SETELAH proses kalibrasi alat Anda selesai dilaksanakan, bukan di awal pengajuan."
